,nombre
1,id
2,co
3,va
4,az
5,tn
6,tx
7,ma
8,ks
9,pa
10,me
11,ms
12,la
13,mn
14,ky
15,wa
16,al
17,ca
18,ga
19,nc
20,md
21,ia
22,fl
23,or
24,ar
25,hi
26,nj
27,ut
28,wv
29,ny
30,sc
31,oh
32,mo
33,mi
34,ak
35,sd
36,ok
37,dc
38,in
39,ct
40,ri
41,ne
42,nd
43,nv
44,wi
45,nh
46,de
47,il
48,nm
49,mt
50,vt
51,wy
